class,POINT_X,POINT_Y,Cell concentration (cells/mL),b1_micasen,b2_micasen,b3_micasen,b4_micasen,b5_micasen,b6_micasen,b7_micasen,b8_micasen,b9_micasen,b10_micase
snow algae,-121.6955925,48.85366985,15895.26847,19012,20067,19047,19611,20082,20268,20645,19787,20205,18148
snow algae,-121.6956406,48.85367183,17445.72749,23037,25044,23490,25155,25806,24764,24482,25031,24458,21488
snow algae,-121.695576,48.85362681,41213.17654,19466,20167,18467,18638,21155,19852,21608,20441,20213,18414
snow algae,-121.6958064,48.85395831,19615.11807,17620,19603,17248,19721,19433,19090,19675,19584,18864,17845
snow algae,-121.6960739,48.85370903,23542.32264,20782,22225,22104,22629,23381,22737,23305,23463,22829,21068
snow algae,-121.6927049,48.85275786,179180.9299,10439,11692,11050,12607,16637,16038,18965,18165,19084,16032
snow algae,-121.6926419,48.85276259,148997.7424,10374,11492,11140,11784,16940,15845,18137,18174,18682,16065
snow algae,-121.6926549,48.85275103,63943.86525,15636,17556,16009,17488,20485,19531,22105,20192,21397,17222
snow algae,-121.6926475,48.85277755,24262.63795,17730,19312,18450,19816,22227,20170,22247,20249,21214,18525
snow algae,-121.6926945,48.8527789,17144.84088,17540,18849,17674,19328,21062,20008,20875,20457,20227,17479
water,-121.6907371,48.85398586,,545,681,757,813,282,216,167,213,211,356
vegetation,-121.6954954,48.85458377,,4773,5233,6107,6385,8026,8067,9537,9737,10348,11811
water,-121.6916823,48.85405273,,548,606,655,686,153,235,126,167,130,253
snow,-121.6971479,48.8543014,,24277,26005,25650,26941,23120,24621,25094,24945,24780,22087
snow,-121.6969523,48.85408779,,24711,27203,25680,25535,24144,22914,23303,23354,22655,20303
snow,-121.6974915,48.85368059,,19343,19908,20090,20910,18769,17801,18840,18374,17901,17299
water,-121.6909149,48.85421024,,561,698,777,842,237,137,109,179,148,285
water,-121.6938151,48.85359386,,780,832,999,1296,1852,1867,2036,2135,1945,2349
water,-121.6966173,48.85436619,,4485,4831,5158,5426,4973,5194,5354,5200,5366,6074
vegetation,-121.6901785,48.85384463,,997,1166,1458,1646,1665,1774,2482,3052,3852,4760
snow,-121.6965078,48.85308121,,21674,22248,20548,23276,21290,19746,19914,18720,19234,17280
rock,-121.6977106,48.85471808,,2890,3453,4244,4693,4528,4711,4707,4884,4887,5805
snow,-121.6978314,48.85303312,,19503,23075,20037,22735,18006,17761,18242,16846,17232,15475
rock,-121.692455,48.85282695,,3328,3857,3713,4593,4661,4304,4956,4497,5418,5230
vegetation,-121.6898578,48.85488226,,748,1061,1300,1563,1676,1618,2388,2934,3501,4644
water,-121.6927845,48.85363828,,704,779,837,1054,295,280,236,269,220,358
vegetation,-121.6913571,48.8530623,,802,1092,1842,2668,2306,2009,4978,6587,8865,10784
water,-121.6906618,48.8541929,,640,740,871,1007,322,243,181,192,205,336
rock,-121.6989361,48.85415865,,3422,3776,3854,4519,4570,4159,4439,4339,4935,5537
water,-121.692029,48.85413051,,485,541,587,683,111,94,80,105,77,144
water,-121.6907694,48.85387958,,526,565,784,902,216,147,113,183,176,308
water,-121.6925667,48.85457147,,482,621,601,747,218,195,221,282,250,476
snow,-121.6961422,48.85323496,,22481,25620,23155,25289,23920,21611,22524,21018,22136,19873
water,-121.6920729,48.85321664,,615,656,829,899,955,948,1215,1179,1088,1497
snow,-121.6967171,48.85374111,,19560,21473,20945,21759,21128,20669,22408,22527,22820,22018
snow,-121.6962533,48.85383996,,20758,21698,20932,21594,20253,19593,19100,18510,18635,17243
rock,-121.6961023,48.85443779,,4199,4195,5099,5081,5359,4834,5201,5429,5834,6042
vegetation,-121.6990317,48.85413363,,1452,1613,2224,2323,2170,2309,3606,4293,4788,6495
snow,-121.6934438,48.85257155,,19850,22841,20897,22262,19920,18595,18356,17319,17625,14688
rock,-121.6902859,48.85457713,,1216,1705,1969,2362,2799,2841,3812,3889,4454,5966
water,-121.6926648,48.85433322,,537,536,581,598,140,159,168,178,152,243
snow,-121.6975437,48.85374436,,20681,22424,21058,21539,17795,18673,18448,18254,18288,16403
snow,-121.6988075,48.85291338,,22654,24873,23132,24634,21650,20101,20174,19227,19548,16571
vegetation,-121.6901984,48.85388878,,1247,1338,1680,1812,2156,2207,2880,3292,3907,5045
snow,-121.6984649,48.85408864,,24628,26058,25275,26214,24758,23851,24801,24414,24377,22161
water,-121.6909635,48.85414056,,482,539,642,655,183,184,167,175,251,299
rock,-121.6898216,48.85403039,,415,445,493,471,511,471,703,954,1011,1674
water,-121.6914997,48.85453247,,503,659,736,861,286,187,189,192,237,703
water,-121.6924748,48.85361181,,1092,1313,1334,1505,780,757,754,726,703,734
water,-121.6931854,48.85352384,,498,858,1030,1485,1508,1342,1532,1370,662,828
rock,-121.6967758,48.85464885,,3304,3644,4144,4628,4449,4507,5229,5188,5208,6430
snow,-121.6972757,48.8544322,,19304,20179,20326,20808,20604,19188,21198,20890,21111,19329
snow,-121.6975082,48.85459259,,22600,23601,22555,24938,22967,22176,22393,22397,22703,20776
vegetation,-121.6940322,48.85342036,,1265,1584,1703,1962,2335,2146,2746,2968,3242,4531
snow,-121.6932614,48.85324838,,23185,26224,23644,25429,23397,21903,22586,21186,21434,17921
snow,-121.6975616,48.8531495,,22448,24628,23042,25430,21597,21100,20756,19612,19952,17787
water,-121.6906775,48.85434242,,601,795,943,1171,254,213,155,274,181,398
water,-121.6905483,48.85470829,,666,827,1088,1241,413,275,208,279,294,681
water,-121.6927895,48.85382475,,361,439,499,582,60,70,96,13,64,179
vegetation,-121.6953747,48.85424061,,1378,1842,2016,2377,2450,2396,3158,3527,3956,5964
snow,-121.6987119,48.8542437,,17561,19333,18601,18322,18496,17879,18746,18638,18399,17974
snow,-121.6977348,48.85290534,,21662,24407,22714,24508,21999,20840,21220,19946,20384,17867
snow,-121.6981191,48.85334423,,21550,23628,21724,22801,21911,20021,21283,19265,20659,18151
vegetation,-121.6951934,48.85384196,,858,1221,1438,1528,1748,1721,2256,2773,2863,4424
water,-121.6904327,48.85418114,,574,649,860,1055,1074,1218,1335,1283,966,1176
vegetation,-121.6960242,48.85465052,,1617,1977,2299,2873,2653,2451,3812,5158,6576,8461
vegetation,-121.6959442,48.8542431,,1065,1244,1926,2095,2110,2211,3101,3776,4376,6369
snow,-121.6975767,48.85350055,,22183,23879,22861,24659,22415,23009,22554,21279,21834,19031
vegetation,-121.6969033,48.85451323,,2429,2717,3035,3579,4223,3895,4593,5144,5099,6670
vegetation,-121.6937124,48.85350906,,1139,1381,1639,1732,2014,1733,2405,2544,2967,4116
water,-121.6931583,48.85434634,,528,604,705,681,264,191,155,164,158,325
snow,-121.6963131,48.85306363,,18094,20227,19453,20566,19207,18810,18606,17267,18363,16777
water,-121.6931446,48.85428325,,534,596,599,677,231,178,127,152,123,245
rock,-121.6896887,48.85403202,,1325,1720,1805,1788,2566,2434,2856,2803,2415,3802
snow,-121.6978082,48.8533954,,21847,23416,22574,23921,21002,20674,20165,18821,19908,17840
vegetation,-121.6931439,48.85254042,,1433,1631,2171,2627,2434,2068,3635,4407,5206,6233
water,-121.6922315,48.85410784,,428,483,613,644,46,1,0,15,0,95
rock,-121.6911105,48.8530895,,1410,1650,1750,1805,2067,1978,2507,2503,2876,3954
snow,-121.6939998,48.85255423,,30073,33591,31425,32788,28775,26231,26635,24596,24462,20901
snow,-121.6973824,48.85388361,,20641,22514,21125,21166,19760,19604,20554,20205,20055,18984
water,-121.6918607,48.85452823,,480,540,587,589,192,176,171,224,212,677
rock,-121.6905527,48.85387441,,2147,2569,2776,3269,3301,3665,3721,3852,4036,4213
snow,-121.6962289,48.85267361,,20237,21885,19677,22450,18787,18345,18297,17080,18288,15793
rock,-121.6969133,48.85484323,,2096,2359,3371,3698,4125,3873,5076,5603,6568,7546
vegetation,-121.6962518,48.85451783,,1691,2218,2907,3435,4368,4482,6263,7223,8272,11196
snow,-121.6956978,48.85300132,,15702,17711,16901,18233,15761,15388,15707,14433,14652,14066
snow,-121.6978191,48.8537237,,25023,27381,26114,26034,24937,23606,24899,23478,22745,20729
rock,-121.6901529,48.8540857,,1229,1418,1639,1673,2035,1930,2356,2880,2671,4046
snow,-121.6948873,48.85323388,,17177,18423,17472,19361,17347,17215,16499,16267,17067,14821
vegetation,-121.6930049,48.85252363,,1025,1097,1579,1896,1832,1792,2984,3341,4025,5095
rock,-121.6898803,48.85396812,,143,134,151,191,113,146,216,371,491,1162
vegetation,-121.6954256,48.85373583,,1070,1141,1425,1478,1226,1547,1896,2195,2237,3525
rock,-121.6984784,48.85483767,,2968,3319,3861,4281,4543,4464,4571,4646,4612,4997
water,-121.6964212,48.8545825,,2096,2205,2762,3169,2878,2716,2701,2951,2466,3340
vegetation,-121.6915,48.8532085,,1124,1591,2003,2577,2716,2728,4171,4707,5618,7360
snow,-121.6972861,48.8544559,,19640,21326,20361,21725,20494,19528,21530,20472,21154,18828
water,-121.6928393,48.85353266,,914,1125,1086,1363,710,628,583,579,531,664
vegetation,-121.6954513,48.85384139,,1232,1502,2220,2453,2319,2263,3820,4634,4643,6755
rock,-121.6982884,48.85475248,,1473,1746,1951,2259,2098,2361,2432,2660,2744,3591
vegetation,-121.6939944,48.85382585,,1164,1529,1774,2051,2572,2707,3494,3779,4139,5894
vegetation,-121.6963636,48.85450442,,1190,1327,2181,2439,2582,2768,4384,5337,6653,8460
water,-121.691023,48.85457344,,452,500,616,778,257,164,170,267,212,620
water,-121.6909819,48.85465338,,491,527,599,585,209,180,154,298,286,569
water,-121.6912641,48.85461275,,448,551,578,701,293,280,239,294,292,761
water,-121.6918309,48.85407494,,499,534,649,605,130,128,120,140,84,204
rock,-121.6900856,48.85446266,,2741,3364,3542,3914,3919,3723,4063,3870,4005,4408